CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 89efbbfa12241eb7b13b5f2f3bd8c534d7a9f1d5
uncommitted changes = True
seed = 42
engine_config_name = stockfish_classic_local_81000_nodes.ini
data_config_name = fens_board_transformations.ini
address = 127.0.0.1
port = 60004
password = password
remove_pawns = False
num_positions = 50000
transformations = ['rot90', 'rot180', 'rot270', 'flip_diag', 'flip_anti_diag', 'flip_hor', 'flip_vert']
result_subdir = 

fen,original,rot90,rot180,rot270,flip_diag,flip_anti_diag,flip_hor,flip_vert
4Kr2/8/3b3B/8/8/8/R3B1b1/4k3 w - - 5 70,26,27,26,24,26,27,27,22
6B1/5r2/N3k1b1/1K6/6n1/8/R7/8 w - - 2 44,27,30,27,26,23,28,26,27
5k2/8/8/Nb6/4R3/3nB3/8/2r2K2 w - - 4 38,11,11,11,11,11,11,7,11
K7/4n3/5q2/6k1/1NR5/6r1/2Q5/8 w - - 8 32,0,0,0,0,0,0,0,0
8/8/8/5K1b/5R2/1B1br3/1B6/6k1 w - - 19 64,0,0,0,3,0,0,2,0
8/8/5NK1/Q6B/n1k5/q7/8/1b6 w - - 7 59,25,14,8,11,12,3,15,11
1k6/3R1N1K/8/8/8/2nBr3/8/6b1 w - - 9 63,3,0,12,3,9,3,0,11
2B1n1q1/K2Nk3/8/5b2/8/8/3Q4/8 w - - 16 70,0,0,0,0,0,0,0,0
8/2r5/1k6/5Q2/2K5/3N2R1/4q3/n7 w - - 2 41,0,0,0,0,0,0,0,0
2k1b3/K7/8/1n6/8/7N/6r1/4B2R w - - 6 63,-30,-44,-30,-29,-31,-36,-35,-30
n7/8/B5N1/8/5N2/8/4n3/k1K2b2 w - - 10 48,11,11,11,15,15,11,15,15
2B4n/8/1k5B/8/5N2/8/5b2/3Kb3 w - - 5 67,39,46,47,46,40,42,39,43
3r4/6N1/4K3/6n1/1R3N2/8/8/4k2n w - - 7 32,28,29,9,18,16,23,16,9
8/3q2n1/b6N/7K/8/7k/8/BQ6 w - - 15 57,0,0,0,0,0,0,0,0
7N/8/7n/4r3/2kn2R1/5K2/8/6N1 w - - 4 34,-33,-30,-30,-34,-37,-30,-34,-34
8/7r/K3N1n1/5R2/8/5N2/4k3/3n4 w - - 11 36,14,17,22,19,25,15,14,16
3q4/3b1B2/8/2n5/7K/8/8/k2N1Q2 w - - 10 50,0,0,0,0,0,0,0,0
3K4/1r4k1/7b/8/5R2/7N/8/2Bn4 w - - 1 68,4,0,11,0,0,0,0,5
1b1n3k/7q/8/8/2Q1N3/3B4/6K1/8 w - - 10 42,0,8,11,0,3,3,11,4
8/3R4/2rR3K/5B2/2r5/8/kb6/8 w - - 8 32,38,27,27,31,31,31,31,27
1K1R4/8/8/1B6/R7/b4r2/k7/5r2 w - - 11 41,34,31,27,38,34,30,30,31
8/7r/8/3n3k/KR1N4/7q/8/6Q1 w - - 13 59,36,22,0,0,0,40,28,43
4K2k/8/7B/4bN2/4B3/nb6/8/8 w - - 12 60,0,0,0,0,0,0,0,0
6K1/1r4n1/1r6/8/5R2/2k5/8/2NR4 w - - 7 35,0,0,0,0,0,0,0,0
8/8/3K4/Q7/1NR5/3r4/4k3/2n3q1 w - - 12 70,0,6,0,0,0,0,0,0
8/2q5/7K/3Q4/5bR1/k3rB2/8/8 w - - 11 65,0,0,0,0,0,0,0,0
4N1b1/B7/8/4N3/1n6/8/1k2K2n/8 w - - 3 35,34,34,34,32,21,11,22,38
3b4/8/1R4R1/1B6/4K3/k6r/2r5/8 w - - 10 40,0,0,0,0,0,0,0,0
1QB5/6k1/5b2/5K2/2B5/q7/8/b7 w - - 12 57,11,11,14,11,12,11,11,14
3Nn3/4r3/8/8/5K2/7k/2N4n/6R1 w - - 22 69,3,11,0,3,0,6,8,0
k7/3rb3/8/4B3/3K4/1R6/8/2b3B1 w - - 0 46,4,7,8,18,9,5,6,15
3K4/4N3/k4r2/1b6/2B4R/8/8/1n6 w - - 19 61,0,0,3,7,0,0,0,7
1K1Q4/1N6/b7/8/1q2k3/8/2n5/2B5 w - - 13 61,11,7,12,20,13,11,8,7
3k4/8/6R1/8/3n3K/3N4/n7/r1N5 w - - 6 52,0,0,0,0,0,0,0,0
8/Q1K5/5B2/8/4q3/8/2kr1b2/R7 w - - 16 53,0,0,0,0,0,0,0,0
8/R2B4/8/8/Kr4n1/8/8/N1k1b3 w - - 3 55,0,-6,-8,-3,0,-10,0,-8
8/2r3b1/8/8/6K1/3R3B/k4bB1/8 w - - 0 68,72,59,68,73,70,58,73,66
4R3/8/1KN1n3/8/6N1/8/8/n2kr3 w - - 0 42,12,11,8,12,27,11,8,4
8/3r2k1/8/8/7q/4KQ2/8/3n1R1N w - - 7 31,-19,32,-30,-35,-31,-18,-16,-31
8/2b5/2k5/8/1R1K4/2B4N/1nr5/8 w - - 9 53,11,14,11,13,14,12,11,11
8/q4k2/r7/8/1B1K3b/8/3R4/3Q4 w - - 8 32,0,0,0,0,0,0,0,-7
5B2/3k3q/2n5/5N2/6Q1/8/2K5/4b3 w - - 1 38,38,15,28,34,57,28,16,37
7b/7N/8/n7/4B3/3K4/8/k2Nn3 w - - 7 62,34,15,11,15,15,11,15,11
1k4N1/1r6/K7/8/5n2/7n/1N6/1R6 w - - 10 45,-7,-11,-22,-7,-3,-11,-3,-8
6r1/8/2N4b/5B2/1R6/k7/n7/1K6 w - - 2 61,0,0,0,0,0,0,0,0
8/4B3/8/RN6/2K5/7b/3rk3/4n3 w - - 9 47,32,10,7,2,4,15,8,0
1N1K4/2r5/8/3n1bk1/8/8/7R/3B4 w - - 13 56,-14,-13,-13,-14,-13,-13,-13,-13
4N1q1/8/2Q5/B1K5/8/nb6/4k3/8 w - - 7 59,11,11,11,11,11,15,11,8
1RQ5/8/2K5/b7/B4kq1/5r2/8/8 w - - 6 39,10,13,10,10,13,13,13,13
1R3R2/8/6k1/2K4b/8/4r3/4r3/5B2 w - - 8 41,35,41,39,39,34,39,39,47
8/3b2q1/8/7k/N7/4Q3/1nB2K2/8 w - - 18 63,8,11,7,11,7,11,7,11
2r5/8/8/1B4R1/1R6/6bk/1K4r1/8 w - - 8 52,0,0,0,0,0,0,0,0
4n3/5k2/2N5/8/7R/rb3B2/4K3/8 w - - 12 46,40,51,52,48,47,48,43,49
6k1/5n2/N7/3B1K2/8/8/N7/b2n4 w - - 2 34,33,30,30,31,28,27,34,30
7R/8/1k6/2r3b1/3K4/8/5nBN/8 w - - 7 43,0,0,0,0,0,0,0,0
2kq4/8/R2K2QB/8/8/7b/1r6/8 w - - 10 43,0,0,0,0,0,0,0,0
5N2/3N4/2Q5/1K6/8/6n1/8/q2k2n1 w - - 6 41,31,65,41,57,52,62,62,38
2q5/6n1/8/7k/BK6/8/2b5/3N1Q2 w - - 9 57,11,11,12,11,11,12,11,11
1N4BK/6Q1/8/8/4b2k/8/8/n1q5 w - - 7 50,11,11,11,11,11,11,11,11
k6K/8/2N2b2/8/2N3B1/8/n5n1/8 w - - 1 58,1,0,7,1,1,0,0,1
2k5/5r2/2b5/B7/3R4/1b1B4/8/K7 w - - 1 37,0,0,0,8,8,0,0,0
r3n3/5R2/7N/2K5/8/4k1Nn/8/8 w - - 8 54,33,26,45,33,31,46,36,13
7B/5K2/b7/4R3/5B1b/8/1rk5/8 w - - 13 65,30,24,27,27,30,23,27,27
2K5/8/8/b7/1r2k3/4B3/2N2R2/7n w - - 12 58,26,30,22,26,29,27,27,22
4R3/8/8/2R5/1k2N2K/4r3/8/1n1r4 w - - 10 44,38,49,0,32,0,22,33,47
1br4k/8/7N/8/3R1K1n/8/4B3/8 w - - 12 52,0,7,3,11,4,3,0,3
k7/6r1/2K3n1/8/Nn6/8/3R4/3N4 w - - 17 57,3,0,0,3,0,0,0,6
1R5B/n7/8/8/b6r/6k1/3N4/5K2 w - - 12 61,3,4,8,8,0,9,9,10
3b4/8/3K4/5R2/8/2B3k1/7r/1B1b4 w - - 12 63,27,27,26,26,26,28,30,30
5K1R/3R4/k7/4N3/3r4/8/3r4/4n3 w - - 2 60,31,28,40,43,25,21,22,35
3r2k1/8/8/2r3K1/R7/4N3/7R/6n1 w - - 16 60,0,3,7,0,3,8,0,3
4b3/1r6/1kr5/3B4/3R4/8/R6K/8 w - - 6 39,31,24,35,34,31,24,27,35
8/8/b2B4/1k3q2/5b2/2B5/3Q2K1/8 w - - 4 31,68,88,99,142,57,16,59,72
1K6/1B2Q3/2N5/8/8/4q1k1/8/5nb1 w - - 4 62,0,0,0,0,38,0,0,0
6B1/1n1r4/3b4/8/8/8/3R4/k4K1N w - - 2 35,16,0,7,11,30,0,16,15
3B2B1/r7/8/8/7R/2k1K3/6b1/6b1 w - - 10 64,0,0,0,0,0,0,0,0
B3n3/8/8/8/N4b2/3r4/R7/2k2K2 w - - 9 68,19,19,3,22,19,19,15,8
8/n7/N7/Q2K4/4R3/8/1q4rk/8 w - - 12 58,0,-3,42,3,0,0,0,0
6n1/6r1/2N5/8/8/2n2K2/7R/k4N2 w - - 5 65,8,8,3,4,9,3,11,11
8/6nb/2N5/3Q3q/B2K1k2/8/8/8 w - - 11 66,0,8,10,0,0,12,0,8
8/1Q6/5n1K/8/B7/8/kb5N/1q6 w - - 11 50,-12,0,-10,0,0,0,0,-3
8/1n6/8/3N4/4K2B/4N3/1b5n/6k1 w - - 6 63,13,12,12,11,8,11,16,8
8/8/1n4R1/r7/2K5/k7/1q1NQ3/8 w - - 6 57,-6,-10,-6,-6,-6,-6,-6,-6
7N/7N/2n5/1R3K2/8/2k5/r7/6n1 w - - 11 44,37,27,27,36,35,31,38,30
8/3R4/6k1/2r5/6N1/1B5K/1n6/7b w - - 2 39,1,14,3,3,0,9,0,5
3Q4/3K4/4n3/6n1/8/N7/k6q/1N6 w - - 10 44,0,-8,0,0,0,0,0,0
3b4/5K2/N7/5n1B/2N5/8/8/1k2n3 w - - 10 35,30,34,30,34,31,33,35,27
8/5Q1N/q7/6B1/2K1b3/8/8/k6n w - - 15 64,-19,-19,-7,-7,-7,-8,-7,-13
5b2/7R/6r1/8/8/1n2KB2/k4N2/8 w - - 5 59,24,23,25,26,25,11,35,17
BB6/3b4/8/b5q1/7k/8/2K1Q3/8 w - - 2 51,0,0,4,0,0,0,11,15
8/6n1/1n6/4b3/5N2/4N1K1/8/5Bk1 w - - 15 48,0,0,0,0,0,0,0,0
2r5/3b4/8/8/3K2k1/3NB3/7n/2R5 w - - 10 64,5,11,11,11,11,11,4,11
8/8/1K2B3/8/8/R7/1rbBb2k/8 w - - 11 39,17,19,0,14,3,21,14,0
3r4/K3k3/6nr/8/8/5R2/8/1R3N2 w - - 4 52,38,38,35,31,34,39,39,34
8/B7/8/4N3/7b/k6B/4K3/1nb5 w - - 16 52,16,12,12,13,12,10,13,12
1b6/k4B2/8/8/2R5/8/2K2b2/2B2r2 w - - 16 51,0,27,23,22,24,28,19,27
7n/3N4/2K5/1B6/1Q6/8/b1q5/7k w - - 16 64,41,37,39,36,16,60,24,26
2N5/5k2/3Q4/4B3/2K4q/5n2/5b2/8 w - - 5 64,0,0,0,0,0,0,0,0
8/8/2NK4/1b5B/n7/R7/7k/5r2 w - - 2 40,25,22,16,16,15,39,24,19
2r1k2n/8/8/6N1/1N6/5R1K/8/3n4 w - - 5 51,19,30,33,32,24,37,21,32
1b6/1B6/8/1R6/8/3r2k1/K7/N5n1 w - - 4 63,8,11,11,7,7,11,11,11
2r5/8/7B/2K5/8/4R3/2N4n/6bk w - - 6 66,-43,-44,-39,-38,-42,-47,-43,-42
1b1B2k1/8/R5K1/8/8/N1r5/6n1/8 w - - 8 54,0,3,0,0,0,0,0,0
2n5/1R6/5r2/b4k2/3K4/6BN/8/8 w - - 0 37,0,3,0,0,0,3,0,0
8/6k1/3Q4/4KB2/8/2n5/7q/N6b w - - 12 40,0,0,0,0,0,0,0,0
2b5/7B/4q1N1/8/8/8/2K5/4knQ1 w - - 9 67,-98,-98,-116,-11,-89,-80,-52,-119
8/bk6/7n/8/q2N1K2/2B5/4Q3/8 w - - 19 66,15,3,44,13,19,3,19,7
8/q5n1/6N1/3K4/8/4kb1B/8/1Q6 w - - 14 45,-12,-21,-8,-37,-54,0,-3,-11
4q3/8/3Q4/5B2/3NK1n1/2k4b/8/8 w - - 3 39,32,0,11,3,0,17,4,0
3B2kq/1b6/6n1/8/1N6/8/8/1K2Q3 w - - 13 70,0,12,15,0,13,27,0,0
n7/k7/8/4R3/2N5/1R3K2/5r1r/8 w - - 0 67,11,4,15,13,8,6,3,8
7n/8/8/3r3k/KR5N/8/7R/3r4 w - - 10 49,47,47,46,39,44,47,43,49
R5n1/8/1K1k4/6r1/B7/8/8/4bN2 w - - 2 66,7,11,7,7,7,7,7,7
8/7k/4B3/8/1Q4N1/5b2/6n1/3q2K1 w - - 8 43,64,58,80,49,52,61,63,76
B3bR2/4r3/R2K4/8/8/8/4r3/3k4 w - - 9 69,39,5,0,36,10,3,3,0
2k5/8/5B2/8/K3NQ2/8/q7/n6b w - - 1 52,0,-7,0,0,-7,0,0,0
1r5r/8/8/5n2/4R3/1R6/5K2/2N4k w - - 2 67,6,0,0,0,0,0,0,0
1r6/6kr/3R4/7b/R7/8/8/4KB2 w - - 19 67,18,44,39,39,41,39,36,35
4k1r1/8/5b1B/8/N1R5/1K6/8/4n3 w - - 1 59,43,45,46,42,42,46,42,47
1K6/1n6/8/1q6/b1N5/8/k6B/5Q2 w - - 19 60,11,4,7,2,7,7,0,7
2n5/2B5/2b1k3/8/5K2/8/6b1/N2B4 w - - 14 60,37,33,34,35,34,34,37,35
8/4R3/7n/k5rr/8/K7/N3R3/8 w - - 10 58,32,20,25,39,36,38,29,20
4B3/N7/8/8/2q5/Qnk5/4b3/4K3 w - - 17 58,11,11,11,11,12,11,13,11
8/N7/3n4/RK6/Q5q1/6k1/6r1/8 w - - 4 42,-3,-3,-3,-11,0,-3,-3,-1
2R5/1n6/bN1r4/8/8/4B3/6K1/3k4 w - - 9 43,11,11,2,16,11,13,12,3
1b6/8/5K2/8/6r1/4n2k/3NB3/5R2 w - - 9 51,27,29,26,28,30,31,31,22
1k6/5r2/4R2K/8/2R5/N2n3r/8/8 w - - 17 55,-3,0,0,-3,-3,0,-3,0
2k5/6q1/b4b2/3K3B/3B4/8/3Q4/8 w - - 6 61,15,15,15,15,15,15,15,15
k7/8/3K4/7n/1q6/1n3N2/1NQ5/8 w - - 17 62,-73,-75,-101,-35,-76,-85,-52,-41
7r/1N6/8/4knn1/8/8/4N3/5RK1 w - - 10 49,-28,-8,-14,-23,-16,-12,-14,-18
B4B2/n3N3/8/b6k/3b4/6K1/8/8 w - - 4 42,8,4,3,3,3,12,11,6
4q3/8/K7/2n1k3/1N6/8/2NQ4/6n1 w - - 0 43,7,7,67,32,10,24,78,8
2b5/R4B2/1B6/8/5r2/K7/2k4b/8 w - - 1 30,11,0,0,10,8,1,1,0
8/8/5N2/1B6/K2R4/8/5k1b/rn6 w - - 15 49,11,18,16,7,10,16,28,7
1k6/2N5/6K1/R3B3/8/5b2/6n1/7r w - - 8 32,24,30,40,26,21,19,49,34
4n3/6k1/5r2/3R2K1/6QN/8/2q5/8 w - - 2 52,0,16,19,0,0,0,0,0
2r2N2/2b5/8/2k5/1n3R2/4K1B1/8/8 w - - 8 68,15,14,14,17,13,14,13,15
B6Q/n7/4N3/6K1/8/8/k7/1q1b4 w - - 6 32,55,39,45,53,54,29,57,36
6K1/N1rk4/R7/8/5b2/8/6B1/6n1 w - - 8 33,22,19,14,11,10,19,18,18
2q4n/7r/8/8/R7/8/2K4k/Q5N1 w - - 13 44,3,0,3,0,0,18,23,0
7R/2kr2r1/5b2/8/1R6/3K4/3B4/8 w - - 13 44,-43,-43,-49,-47,-47,-43,-43,-47
2R5/1K4r1/2N5/7R/r3k3/8/8/n7 w - - 4 39,42,36,34,31,40,47,38,53
N6K/4k3/8/4b3/6n1/3B3n/2N5/8 w - - 6 42,-14,-14,-20,-16,-18,-12,-16,-14
8/5B2/5b2/3RN3/7k/7n/2r5/4K3 w - - 3 57,27,30,31,27,31,27,23,27
8/2r5/8/8/K5n1/RB6/N2b4/k7 w - - 8 36,31,31,31,23,26,31,31,31
4k3/8/4K2n/3R2R1/2r5/3N4/8/5r2 w - - 16 68,0,6,42,4,3,3,0,3
2N5/NR6/n7/8/7k/7r/5n1K/8 w - - 7 47,0,0,0,0,0,0,0,0
3k4/n1r3NK/8/8/8/6r1/8/4RR2 w - - 0 61,22,27,30,35,24,32,20,32
8/N6k/6n1/1N1n1BK1/b7/8/8/8 w - - 5 45,29,29,30,30,31,30,22,34
5nk1/3R4/5q2/6r1/8/8/8/1N1Q3K w - - 13 61,0,0,0,-2,0,0,0,0
N7/8/2kn2K1/2n5/4NQ2/8/6q1/8 w - - 4 36,-87,-42,-72,-73,-80,-68,-111,-105
8/1r6/1q4Q1/6K1/5R1B/8/5b2/k7 w - - 13 57,50,47,47,50,49,49,50,47
4K1b1/3B4/2Q4B/8/7b/3q4/8/6k1 w - - 13 51,0,0,0,0,0,0,0,0
7R/5n2/8/2K5/3r4/7R/4k2N/3r4 w - - 0 44,0,0,0,0,0,0,0,0
2B4K/8/Q1b5/7k/b7/8/8/5B1q w - - 14 46,0,0,0,0,0,0,0,0
2R5/3B4/4K1bn/8/6kr/8/3N4/8 w - - 1 30,11,14,5,12,4,12,7,12
3B3K/7B/b7/8/8/4k3/1N1n4/6b1 w - - 3 34,42,45,39,46,47,39,42,27
8/R3B3/8/3r4/7b/7k/2N1K3/3n4 w - - 11 39,1,0,0,0,0,0,8,0
8/5R2/8/1B6/1K2k3/2b5/4N3/3n3r w - - 17 55,43,47,47,42,46,49,42,47
3K4/2N5/8/4N3/8/k7/5rn1/3R1n2 w - - 3 34,16,11,23,18,36,19,26,4
6n1/2K5/7b/1N3k2/5B2/5R2/8/7r w - - 6 52,5,1,0,0,0,7,0,0
6Nb/3Q4/4B3/8/8/3K4/1k1n4/3q4 w - - 5 40,-17,-23,-42,-30,-13,-34,-17,-63
1k4q1/7K/Q3b1N1/8/8/1n1B4/8/8 w - - 5 32,44,46,40,33,52,39,42,58
4K3/8/1R6/2N2k2/3B4/2r3b1/8/3n4 w - - 8 57,28,31,27,27,26,31,30,27
6q1/1N6/1B4b1/8/8/1K2Q3/8/5k1n w - - 7 49,1,0,0,20,7,12,11,10
q6b/1N2Q1K1/8/B7/5n2/5k2/8/8 w - - 9 63,-70,-11,-47,-83,-93,-39,-86,-47
4Q3/r7/2K5/6q1/2k5/3r4/7R/4R3 w - - 5 65,0,0,0,0,0,0,0,0
3Q4/3n4/3q4/4r3/8/7K/8/3k1NR1 w - - 7 35,58,28,27,36,40,51,78,66
8/4k2q/6b1/5B2/6B1/6b1/2Q1K3/8 w - - 16 59,11,11,11,11,11,11,11,11
8/5n2/2R5/6K1/6N1/4R3/3r4/1r4k1 w - - 6 40,12,32,6,8,8,22,12,0
8/4r3/4B1R1/2N4n/3K4/6b1/8/6k1 w - - 1 58,34,27,27,14,22,19,20,18
8/5n2/8/2k4r/B1b5/1R5N/8/5K2 w - - 1 43,-26,-23,-30,-31,-34,-23,-26,-31
3r4/8/K7/1B3b2/2R5/4R3/5r1k/8 w - - 6 42,0,3,0,0,9,5,4,0
8/2KBb3/k7/1N6/n7/1b6/8/1B6 w - - 20 63,11,11,11,11,11,11,11,15
8/r7/8/1k6/8/2B2N2/1n5K/bR6 w - - 3 30,39,38,42,42,42,35,39,40
6R1/1r6/8/8/4k1K1/4n3/1n6/NN6 w - - 1 34,-36,-16,-41,-42,-38,-28,-42,-37
1N2K2k/7n/3r4/2R5/3n4/6N1/8/8 w - - 18 63,0,0,0,0,0,0,0,0
8/1k3b2/8/8/4R3/3B2K1/8/3rN1n1 w - - 6 47,31,36,45,40,43,38,28,34
3rk3/N7/6R1/3n4/7R/8/1r6/3K4 w - - 15 68,0,0,0,0,0,0,0,0
6b1/8/3B1K2/8/nN2r3/k7/8/1R6 w - - 7 65,9,3,3,3,11,4,12,4
8/2n5/1N5B/8/R7/3b4/5k2/4r2K w - - 7 53,-7,-3,-7,-7,-3,-3,0,-14
1K1k4/8/1R6/8/r7/3b3B/2n5/3N4 w - - 14 69,40,44,43,35,34,44,42,42
3B2n1/4r3/8/6bk/8/6R1/4K3/4N3 w - - 2 35,30,34,31,27,27,31,27,31
3q4/8/6K1/1QN1b3/3n4/3B4/5k2/8 w - - 0 34,0,0,0,9,0,0,0,0
R7/8/1N6/6r1/4R3/1n6/3r4/1k4K1 w - - 4 40,-41,-3,-51,-19,-26,-43,-26,-30
2B5/4B3/8/8/2RKb3/5k2/8/4r1b1 w - - 2 53,-22,-16,-15,-18,-12,-26,-24,-26
8/3k4/3r4/2rn3K/6NR/8/8/R7 w - - 2 36,-3,0,0,-1,-3,0,0,-3
R6N/2b3B1/8/8/7k/5n2/3r4/5K2 w - - 4 52,-19,-8,-16,-13,-32,-32,-24,-18
2N3Q1/6B1/8/K6q/6n1/3b4/4k3/8 w - - 18 70,-39,-35,-14,-22,-48,-51,-61,-39
1B6/3NK1k1/2b5/8/2n5/1b1B4/8/8 w - - 17 68,11,13,11,9,16,15,15,17
3k1b2/2n5/8/NB2Q3/8/5q2/7K/8 w - - 8 36,15,11,11,33,7,11,6,11
1b1B4/k7/8/8/8/Kr4q1/2R5/2Q5 w - - 4 62,-17,-17,-17,-14,-14,-18,-15,-18
1R3Q2/8/8/3KbB2/7r/4qk2/8/8 w - - 1 34,-7,-7,-14,-7,-15,-11,-14,-22
Q2r4/8/8/8/1K5b/4qB2/7k/5R2 w - - 20 69,0,0,0,0,0,0,0,0
1B2b3/2n5/3k4/3r4/8/8/4N2R/6K1 w - - 0 31,14,13,10,13,11,11,13,13
8/3bn3/k7/1N6/K7/1RB5/6r1/8 w - - 4 57,-11,-12,-11,-14,-11,-11,-15,-16
5b2/1B3k2/2N1b3/8/KB6/8/8/7n w - - 1 39,11,11,11,11,11,11,11,11
2q3K1/2r5/8/4R2N/8/5Q1n/8/6k1 w - - 3 65,-165,-12,-19,-68,-47,-15,-38,-33
6n1/8/8/k4K2/r7/n7/3RN3/N7 w - - 1 39,3,0,3,4,5,0,0,7
5N2/4n3/5N2/8/2R5/3K4/7n/2rk4 w - - 3 35,3,0,0,0,0,0,0,0
2n5/5K2/7Q/8/1N6/4nk2/6q1/7N w - - 0 32,0,0,0,0,0,0,0,0
7b/1B1r4/8/1R1K4/n7/k3N3/8/8 w - - 10 49,13,0,0,7,4,0,4,0
8/1Q5q/3N4/B6n/4bk2/8/8/2K5 w - - 15 58,18,6,11,8,0,7,4,0
5r2/3R4/k3B3/6K1/5bQ1/8/3q4/8 w - - 11 70,0,0,7,0,3,0,0,0
1K6/8/3k4/2r1r3/3N1R2/8/1R6/4n3 w - - 14 63,17,2,7,1,8,12,21,8
4n3/8/2r5/1N6/2r5/RR6/8/2k3K1 w - - 4 41,16,11,13,10,13,11,10,14
5r2/n7/4kN1R/3b4/7B/8/8/5K2 w - - 13 43,30,34,29,29,27,19,27,34
kN6/2K5/N7/n7/8/1n6/5B2/3b4 w - - 9 70,3,0,3,3,3,1,3,3
8/7R/7N/2nr2N1/5K2/3k4/8/7n w - - 9 48,19,0,19,15,12,0,15,15
3b4/8/8/K1n3r1/2R5/4B2N/1k6/8 w - - 8 45,11,11,11,11,11,11,11,11
2R5/1K5b/8/7r/2R4B/8/1k1r4/8 w - - 3 67,0,0,0,0,11,0,0,0
8/8/2k1K3/7r/3B4/6R1/4b2r/4R3 w - - 0 39,30,25,32,24,33,43,30,41
8/1n1r4/3k4/5KN1/1b4B1/8/8/7R w - - 0 32,7,16,23,27,11,20,12,11
7q/8/4n3/8/3r1k2/7K/2Q5/5NR1 w - - 3 32,-31,-32,-28,-14,-31,-22,-55,-47
r7/2k1B3/8/1K3R2/5n2/6b1/2N5/8 w - - 6 32,16,1,11,18,18,12,0,8
2B5/8/3r4/2n5/8/8/K2k4/R2N1b2 w - - 14 56,-8,-12,-12,-3,-15,-7,-4,-7
8/5r2/5b2/1k6/6R1/Bb2B3/4K3/8 w - - 1 42,62,65,62,62,58,61,58,62
4r2k/2K5/R7/3N4/2B5/8/1b6/6n1 w - - 1 55,8,19,18,8,3,16,8,16
3kbN2/8/8/K2B4/7R/8/3n4/4r3 w - - 3 37,0,0,0,0,0,0,0,0
8/8/8/2KB4/R4R2/3b2r1/7k/1r6 w - - 9 47,47,49,34,42,36,49,14,32
1r4k1/8/8/R6K/5b2/8/1B2R3/5r2 w - - 15 57,8,11,5,7,42,0,1,3
8/8/3NQ3/8/2n1BK2/8/3k4/3q1b2 w - - 17 54,88,94,76,93,96,103,109,78
K2k2B1/6NR/3n4/8/8/6b1/8/2r5 w - - 10 51,-3,0,-3,0,0,0,-7,0
1K6/3NR3/3n3B/b7/6k1/2r5/8/8 w - - 9 58,-14,-14,-15,-7,-7,-12,-15,-11
8/8/5K2/r7/2R5/4k1Br/1b6/6R1 w - - 6 56,-6,-11,-16,-18,-13,-11,-14,-23
4k3/2K5/1r6/2bR4/8/5B2/6R1/2r5 w - - 9 43,50,49,50,42,46,50,50,50
1B6/1R3K2/8/bB6/8/r7/7b/6k1 w - - 10 35,16,26,14,5,17,24,25,12
3n1N2/4R1Q1/8/8/kr6/8/1q6/4K3 w - - 10 36,0,0,0,0,0,0,0,0
8/3b4/2n5/8/R6B/5K2/8/4rk1N w - - 11 51,0,0,0,0,0,0,0,0
7b/5q2/8/4Q3/2K5/4R3/4B3/4k2r w - - 1 31,0,0,0,0,0,0,0,0
2K3Q1/5B2/8/2n5/8/5k1N/8/2b1q3 w - - 11 61,43,16,46,33,35,10,37,29
6k1/8/8/6b1/1n2B2b/2N2KB1/8/8 w - - 5 48,0,3,7,8,0,3,0,0
8/7n/8/1NQ5/5q2/1r4k1/2R5/4K3 w - - 1 64,19,0,0,9,0,0,0,0
4K3/8/8/6Br/2b2R2/1k6/6Q1/1q6 w - - 11 50,617,621,568,644,615,605,2918,628
1k6/7r/1q5r/8/Q7/8/1RR5/1K6 w - - 10 59,360,359,303,357,370,360,355,359
5q1k/8/4K3/3R4/8/7r/2B1Q2b/8 w - - 0 56,31992,31992,31992,31992,31992,31991,31992,31992
1K6/8/8/2k5/2b1n3/7B/8/1r2NR2 w - - 4 59,-182,-171,-179,-179,-199,-175,-193,-175
8/5r2/Q7/8/4K1k1/3R3N/8/3nq3 w - - 2 52,-351,-326,-322,-351,-294,-345,-351,-310
R4R2/8/2k1K3/1r6/8/3N4/8/nr6 w - - 7 59,319,353,2822,377,327,322,2909,312
5r1r/8/8/R2Q1R2/8/4q1K1/8/2k5 w - - 7 65,-2797,-2768,-2771,-2759,-2766,-982,-855,-2765
7k/8/5bB1/8/8/4Kr2/5RB1/3b4 w - - 2 34,173,168,175,168,175,166,169,170
k1r5/8/1R6/8/8/4Q3/K1q1n3/7N w - - 14 45,-924,-2910,-952,-3216,-806,-2908,-889,-1536
8/2b3q1/7k/5K1r/QR6/8/8/5B2 w - - 7 70,-450,-500,-540,-446,-533,-446,-398,-385
B7/b3r3/5qk1/3K4/4R3/Q7/8/8 w - - 16 57,168,174,169,162,161,168,168,169
2Q4n/7r/3k4/8/6R1/3KN2q/8/8 w - - 16 70,3096,3116,3057,733,3449,613,2904,770
1K5R/8/8/5Q2/8/8/1r2n2N/q2k4 w - - 0 52,-3301,-3274,-3291,-3239,-3292,-3278,-3305,-3277
3b4/1nr5/7K/1N1B1R2/8/8/4k3/8 w - - 2 56,165,159,161,165,168,155,168,162
2Br4/6K1/4Q3/8/1R4b1/7q/8/3k4 w - - 13 67,423,545,473,472,524,594,510,519
q3K1Q1/8/7b/8/8/1R6/1B6/1r2k3 w - - 6 54,-591,-583,-611,-579,-606,-567,-566,-578
